Name,matching color
UltimateGray_color,"Cerulean_color, GreenAsh_color, Illuminating_color, FrenchBlue_color, IndigoBunting_color, Mint_color "
Cerulean_color,"Cerulean_color, UltimateGray_color, Willow_color, Illuminating_color, GreenAsh_color"
GreenAsh_color,"UltimateGray_color, PolatNight_color, BabysBreath_color, Beige_color, Willow_color"
Illuminating_color,"UltimateGray_color, PolatNight_color, BabysBreath_color, Beige_color"
FrenchBule_color,"BabysBreath_color, Cerulean_color"
IndigoBunting_color,"Inkweel_color, UltimateGray_color"
Mint_color,Macchiato_color
PolatNight_color,"Cerulean_color, UltimateGray_color, Willow_color, Illuminating_color"
Willow_color,"BabysBreath_color, Macchiato_color, GreenAsh_color"
Inkweel_color,"Cerulean_color, Willow_color, PickledPepper_color, IndigoBunting_color, PurpleRose_color"
PickledPepper_color,"Inkweel_color, Buttercream_color"
PurpleRose_color,Inkweel_color
Buttercream_color,"PickledPepper_color, Cerulean_color, Macchiato_color"
Macchiato_color,"BabysBreath_color, Cerulean_color, Mint_color"
BabysBreath_color,"UltimateGray_color, Cerulean_color, FrenchBule_color, PolatNight_color, Illuminating_color, GreenAsh_color "
DesertMist_color,"Illuminating_color, UltimateGray_color, Cerulean_color, GreenAsh_color"
Beige_color,"Illuminating_color, UltimateGray_color, Cerulean_color, GreenAsh_color"
Sphagnum_color,"Willow_color, BabysBreath_color, UltimateGray_color"
White,"LightBlue, Beige, LightPink, Gray, DeepBule"
Brown,"Gray, Beige, White, LightBlue, Dlack"
Gray,"White, LightPink, LightBlue, Navy, Dlack"
LightGreen,"LightBlue, White"
DeepGreen,"Gray, Beige, Dlack"
Navy,"White, LightBlue, LightPink, Dlack"
LightBlue,"Beige, White, Dlack"
DeepBlue,"Gray, LightBlue"
Beige,"White, LightPink, Gray, Navy, Brown"
LightPink,"White, Gray, Brown"
DeepPink,"LightBlue, Dlack"
Dlack,"Brown, Gray, DeepGreen, Navy, LightBlue, DeepPink"
